Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.029516361558529,0.3091,1.8539928605284872,0.36
2,1.8160432328653457,0.3715,1.8067144170592102,0.371
3,1.7909548968610252,0.38636,1.79105608070953,0.3854
4,1.794148342383792,0.39098,1.8422770515272888,0.378
5,1.7967163289294523,0.39398,1.8133707423753376,0.39
6,1.7860741670174367,0.40008,1.8014805437643318,0.399
7,1.7656232065252027,0.40576,1.7565453097790102,0.4076
8,1.7586628995892946,0.40798,1.793870041642008,0.407
9,1.7578882692415085,0.4093,1.753060307683824,0.4174
10,1.752599172884851,0.41108,1.7539833316320106,0.398
11,1.7472115779471824,0.41624,1.7857149100001855,0.4064
12,1.7290390322885245,0.42064,1.8115739339514623,0.3988
13,1.7564708180439748,0.41488,1.7745235388792013,0.415
14,1.5934400846586203,0.45198,1.5611793225324606,0.45
15,1.5428812820893114,0.46684,1.5485038998760754,0.4604
16,1.5187760443638658,0.47512,1.5662133165552645,0.4572
17,1.5143273128268053,0.47584,1.5410307012026823,0.4666
18,1.491308450241528,0.48086,1.5302744922758658,0.4682
19,1.496548627648512,0.48226,1.5173673735389226,0.4766
20,1.4717039220473345,0.4869,1.5027315179003944,0.485
21,1.4695014436836438,0.4919,1.4999540289746056,0.4822
22,1.461721967858122,0.4941,1.4761518375783027,0.4836
23,1.4486816063561403,0.49996,1.4777549173258528,0.497
24,1.4476838931250755,0.49812,1.4720713141598278,0.4816
25,1.4489056459625664,0.49984,1.4750902290585675,0.5008
26,1.4382128038674669,0.49948,1.4977899669091912,0.4832
27,1.4310242568745333,0.50408,1.4689093149161037,0.4892
28,1.4271958298085596,0.50672,1.4645401948614964,0.5034
29,1.41770170579481,0.51028,1.4408231943468504,0.506
30,1.4219147011142252,0.50934,1.4318233109727692,0.5042
31,1.4186544060097326,0.51238,1.4312701542166215,0.5048
32,1.407287930969692,0.51104,1.4721610772458813,0.5048
33,1.4035350747425537,0.51174,1.4346489121642294,0.4976
34,1.3312197013584244,0.53474,1.3528634445576728,0.5294
35,1.3129885269857733,0.54122,1.3821464022503624,0.528
36,1.3019353043087913,0.5464,1.3462492755696744,0.5334
37,1.2945788338056305,0.5465,1.3466725621042372,0.5296
38,1.2849683986447962,0.55166,1.3148472082765796,0.5386
39,1.2845613345160813,0.55354,1.3035876268072972,0.5438
40,1.2723640772082923,0.55294,1.3369362988049471,0.5414
41,1.2650095199989846,0.5555,1.2981730925885937,0.5468
42,1.2588691352425938,0.55796,1.2989934215062782,0.5436
43,1.2555797914104998,0.5603,1.3298654895794542,0.5418
44,1.2516829182424813,0.56118,1.3006323802320263,0.5468
45,1.2411194427696335,0.56478,1.271170104606242,0.556
46,1.2435780676734416,0.56588,1.3036714264109164,0.5454
47,1.2322615474996055,0.5693,1.2706225340879416,0.5506
48,1.2337840567616856,0.57024,1.2798147790039642,0.5544
49,1.2337974027904404,0.56852,1.274469615537909,0.556
50,1.199862412936852,0.58008,1.2566472276856628,0.56
51,1.1905070734603325,0.58046,1.257322570191154,0.5634
52,1.1865042041024894,0.58588,1.2606267001055464,0.562
53,1.1776083633875298,0.5874,1.2313244825677028,0.5738
54,1.1716661046990349,0.59052,1.2258332137820087,0.5626
55,1.1644038291995789,0.59412,1.2338682752621324,0.5636
56,1.1616536663926167,0.59204,1.2400091154665887,0.565
57,1.160714745673987,0.59394,1.2364646068102196,0.5634
58,1.1430015069292025,0.59892,1.2071330041825017,0.5854
59,1.1306560826118646,0.60458,1.1990807358222673,0.5806
60,1.1346926878937675,0.60166,1.2122752651383606,0.5768
61,1.1311177160124035,0.60182,1.2130134256580207,0.5874
62,1.1281123411320055,0.60578,1.1957487795926347,0.5784
63,1.123547577644553,0.60926,1.1945909933198857,0.5824
64,1.1195977134320436,0.60822,1.1993012873432305,0.5818
65,1.1219009690729858,0.60684,1.1935566912723492,0.5848
66,1.1146867014562991,0.6109,1.2100327286539199,0.5802
67,1.1088705139086985,0.61302,1.1907269818873345,0.5858
68,1.1058416314747022,0.61288,1.1872233854064458,0.5918
69,1.1069787222406138,0.6127,1.2011152339887015,0.5756
70,1.0997292980970934,0.61388,1.1915412092510658,0.584
71,1.101253281621372,0.61506,1.1805010362516475,0.5904
72,1.098540663109411,0.61684,1.1897502805613265,0.5888
73,1.0928249768436413,0.61824,1.184971640381632,0.5946
74,1.0907660507027754,0.61954,1.1681220765355267,0.5986
75,1.0941466051141928,0.6173,1.1739338387416889,0.5886
76,1.092655829151573,0.61852,1.17988528179217,0.592
77,1.092578603483527,0.61808,1.153659380689452,0.5934
78,1.089676819570229,0.61978,1.175044526782217,0.5962
79,1.085519199404875,0.6201,1.1813521498366246,0.5928
80,1.0863177459258253,0.62164,1.1645033208629754,0.5898
81,1.0867474249104405,0.61886,1.1816315522676781,0.5932
82,1.0870195044885815,0.61982,1.1764582840702202,0.5942
83,1.087586688873408,0.62066,1.1669020328340651,0.592
84,1.0860072507730225,0.62026,1.1787423627286018,0.5946
85,1.0856028016266006,0.62136,1.1762005498137655,0.5902
86,1.0850573273570947,0.62024,1.1558187324789506,0.601
87,1.0839200728689617,0.62272,1.1654213297216198,0.5958
88,1.0810276689126974,0.62352,1.1759426307074632,0.5958
89,1.0867476065445434,0.62088,1.1713275253018247,0.5964
90,1.0844935715350958,0.62412,1.1592720090588438,0.5936
91,1.080259032566529,0.62402,1.172258111495006,0.602
92,1.0824246063561695,0.62148,1.161430104623867,0.5904
93,1.0855011396548326,0.618,1.1683782610712172,0.5914
94,1.0850994596091073,0.62094,1.1651294352133064,0.5918
95,1.0856731476076424,0.62094,1.161024099663843,0.5872
96,1.0829898457393012,0.6227,1.1655637916130355,0.5898
97,1.0837699590284195,0.6199,1.1662742065477976,0.5918
98,1.0786393010402884,0.62464,1.17639543059506,0.5942
99,1.084193455974769,0.62068,1.1711374687243112,0.5912
100,1.0855347796931596,0.61946,1.1765485066401808,0.5894
